"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00162",3362.52765702518,-0.838714300273249,0.0712234487206056,-11.7758170285091,5.20107060961189e-32,4.69085151558913e-31
"SAOUHSC_00163",1184.77333598328,-1.00965728946286,0.0794457389042847,-12.7087657989975,5.2862156615933e-37,5.64815475193663e-36
"SAOUHSC_00167",2524.80009456051,-1.81792347618395,0.0664833120249118,-27.3440570394983,1.27074583484251e-164,8.37280311179562e-163
"SAOUHSC_00168",270.221291638356,-2.63994232198029,0.14839879254196,-17.7895134910471,8.52165579698984e-71,2.00132351984751e-69
"SAOUHSC_00169",325.793414780367,-2.74207326302036,0.15363688234694,-17.8477538800107,3.00897132066839e-71,7.13727997262541e-70
"SAOUHSC_00170",575.813417248045,-2.56276021172896,0.112598793054376,-22.7601037472166,1.13975986914212e-114,4.66122484414676e-113
"SAOUHSC_00171",523.705708204248,-1.77046028739257,0.106068505731334,-16.6916680421336,1.50700788196845e-62,2.97885224669098e-61
"SAOUHSC_00173",31.1498228159858,0.168582980678568,0.352505775810509,0.47824175445338,0.632478147075609,0.689447686058522
"SAOUHSC_00174",30.3251717569111,0.515037430811609,0.379539041535955,1.35700777639978,0.174778739640978,0.228164650758614
"SAOUHSC_00175",249.637886791743,-3.55301720328751,0.197206933567164,-18.0166951486898,1.44098533185675e-72,3.59791284964655e-71
"SAOUHSC_00176",191.745708788482,-2.98777286215443,0.246140917828586,-12.1384647807121,6.60537317356811e-34,6.31771982568691e-33
"SAOUHSC_00177",128.507127572254,-1.1154971032916,0.234720718646173,-4.7524441375503,2.00972305869955e-06,5.09846320346025e-06
"SAOUHSC_00178",97.1500406262492,-0.455173789755627,0.207976114265745,-2.18858685461361,0.0286268821235097,0.045148247604365
"SAOUHSC_00179",67.4006990282514,-0.163811652913192,0.261227486261341,-0.627084290622118,0.530603984053409,0.595642522562559
"SAOUHSC_00180",99.620950063421,-0.0858690055046511,0.243485669235777,-0.352665541976932,0.724339195077489,0.773236980523764
"SAOUHSC_00181",205.829147499915,-0.0371770141896256,0.149133181750758,-0.249287340035153,0.803138523459126,0.839966744993407
"SAOUHSC_00182",26.2999295321435,-0.914353751735525,0.420675739642969,-2.17353573208558,0.0297400195088111,0.04668651639636
"SAOUHSC_00183",371.439961861719,-1.78319064787707,0.146110920113722,-12.2043625930845,2.9460653000099e-34,2.84903912134528e-33
"SAOUHSC_00184",794.65375434568,-0.809302468137102,0.0860580362344305,-9.4041475212435,5.24536716916368e-21,3.24010701178548e-20
"SAOUHSC_00185",1343.79196264645,-1.01467884544895,0.0761158580192868,-13.3307154626286,1.53419226253109e-40,1.7751727057189e-39
"SAOUHSC_00186",691.071422383847,-0.949409262411702,0.0893351685935164,-10.6274972931613,2.21989730330781e-26,1.61027412949423e-25
"SAOUHSC_00187",82972.3756435127,-3.48213204341961,0.0710331622819426,-49.0212167325234,0,0
"SAOUHSC_00188",15699.6462773985,-3.3406972349054,0.0782799411189605,-42.6762870174954,0,0
"SAOUHSC_00190",2202.074391838,0.0686545918557088,0.0750025237984017,0.915363755495009,0.360000699216601,0.426321347250014
"SAOUHSC_00191",47.8514047140765,0.359608154316871,0.292117166997015,1.23104081151296,0.218307600738421,0.276321039995483
"SAOUHSC_00192",12.3635079216037,-0.0103121120858749,0.563181043287287,-0.0183104744181074,0.985391171490824,0.988725828585547
"SAOUHSC_00193",9.57335545111843,0.0233954019201651,0.616859574617773,0.0379266252528571,0.969746184434995,0.976331897062737
"SAOUHSC_00195",298.584595860756,-0.786962652005832,0.132405073219762,-5.94359893370288,2.78831334035365e-09,8.91358388587447e-09
"SAOUHSC_00196",307.065113054307,-0.70112193848318,0.127687498091272,-5.49092079462637,3.99843647848201e-08,1.16657949901099e-07
"SAOUHSC_00197",80.8966949212699,-1.78349072881653,0.261214241776896,-6.82769330142347,8.62908156795873e-12,3.22333566601545e-11
"SAOUHSC_00198",219.726087827951,-1.46024732585022,0.163404085451171,-8.93641870592388,4.01986615550834e-19,2.25416608058293e-18
"SAOUHSC_00199",464.636314426021,-1.91705098065783,0.125029163840752,-15.3328305314395,4.61433116587057e-53,7.20078521410855e-52
"SAOUHSC_00200",861.591914264871,-1.49025296948329,0.0953298231101505,-15.6325997559164,4.36619428991337e-55,7.04531486780579e-54
"SAOUHSC_00201",2386.93940865601,-0.754947387656068,0.072042233271853,-10.4792335463458,1.07612308901585e-25,7.64240708726228e-25
"SAOUHSC_00202",841.641512400269,-0.877004501868833,0.0959256705448159,-9.14254231310378,6.1001091116365e-20,3.59043642997563e-19
"SAOUHSC_00203",89.0184965377372,-0.905125808217738,0.221996611142208,-4.07720551931276,4.55802020857218e-05,0.000101327309603873
"SAOUHSC_00204",9672.54040538627,-0.722572159690139,0.0639321444295199,-11.3021730482812,1.28010572679486e-29,1.07293667277647e-28
"SAOUHSC_00205",2.4143472584598,0.54097159620248,1.3042357910614,0.414780517380396,0.678302583110879,0.731001239045436
"SAOUHSC_00206",432503.19901075,-0.44412566730012,0.064452096717437,-6.89078695526698,5.54845815473309e-12,2.10912543958764e-11
"SAOUHSC_00208",25.7088369690832,-0.627796274385096,0.432595786442346,-1.45123067320667,0.146715638403563,0.196504513999578
"SAOUHSC_00209",1137.19558120708,-0.601701838498211,0.0943527706201337,-6.3771507136836,1.8041290061394e-10,6.17517172086965e-10
"SAOUHSC_00211",333.427921432554,-0.0224170469691122,0.117708980240979,-0.190444662108353,0.848960702722277,0.877826846929922
"SAOUHSC_00213",151.37030887164,-0.551182374961663,0.190428730829816,-2.89442865349057,0.00379849221378931,0.006862165674873
"SAOUHSC_00214",17.322995190309,0.489335688456156,0.480079627057794,1.0192802628495,0.308069931393784,0.372447439992893
"SAOUHSC_00215",19.1138814579219,0.215071807610004,0.450098539567541,0.477832715957369,0.632769273644352,0.689448193424163
"SAOUHSC_00216",114.272494195493,0.199766751459128,0.19562830868402,1.0211546212455,0.307181188016072,0.371751927537817
"SAOUHSC_00217",73.8058642545669,0.373126632787826,0.231527205932075,1.61158871712594,0.107051467541553,0.14872930404892
"SAOUHSC_00219",250.30194654692,0.269510130296285,0.133912637398299,2.0125817513001,0.0441586483536607,0.0663778922020806
"SAOUHSC_00220",1065.78633943614,-1.03835802088828,0.086982434338363,-11.9375599083494,7.54028871976013e-33,7.01394699736118e-32
"SAOUHSC_00221",2101.72707503814,-1.15160644833681,0.0727066404334101,-15.8390821178367,1.67244258967372e-56,2.87466219036672e-55
"SAOUHSC_00222",2943.13251705644,-1.26520100651801,0.0638085529071266,-19.8280786646191,1.7042640219868e-87,5.05314282519086e-86
"SAOUHSC_00223",2249.60264110785,1.46848369147216,0.0670388702560301,21.9049588076862,2.32991537163569e-106,8.5023988638767e-105
"SAOUHSC_00225",5057.0705052309,0.487876344754664,0.0589228789192265,8.27991357013397,1.23264712940891e-16,6.09133123116236e-16
"SAOUHSC_00226",11467.3258198018,0.181051534227664,0.0783650507540525,2.31036070908563,0.02086819245635,0.0336044484090035
"SAOUHSC_00227",26332.8978555923,0.306408691682994,0.064493634207141,4.75099124820395,2.02421894365894e-06,5.12975142559722e-06
"SAOUHSC_00228",24825.8640029669,0.486238077600338,0.0525542850042641,9.25211098506784,2.20102001315042e-20,1.31176368622934e-19
"SAOUHSC_00229",3350.33079354067,-0.804235784104125,0.0652472565936719,-12.3259708697411,6.56480248015559e-35,6.4882131178871e-34
"SAOUHSC_00230",2448.26132495121,-0.371103168228273,0.0696820853114517,-5.3256610586435,1.00586542824026e-07,2.83026428918848e-07
"SAOUHSC_00231",500.336783395628,0.18135964242485,0.106075922261603,1.70971544303506,0.0873185056323831,0.123285413904769
"SAOUHSC_00232",3099.75982489989,-1.53842542996379,0.0908754034595517,-16.9289529553344,2.75232437861232e-64,5.72676616321792e-63
"SAOUHSC_00233",15067.9368543589,-2.07390729707472,0.105871090122636,-19.5889859514284,1.91975876713377e-85,5.62181209338433e-84
"SAOUHSC_00234",849.224513242267,-1.46566832640255,0.0982425927243863,-14.9188685452794,2.48450556191306e-50,3.66040198314147e-49
"SAOUHSC_00235",58.0294288006038,0.284289762012479,0.260409864056067,1.09170120357373,0.274964456007685,0.337760585007886
"SAOUHSC_00236",576.93231657337,0.271475235923386,0.100366242816055,2.70484605487255,0.00683360504628572,0.0119625912692175
"SAOUHSC_00237",263.794214008553,0.535202946945867,0.13347778076997,4.00967819406746,6.08015544615881e-05,0.000133414696746426
"SAOUHSC_00238",12.4732271333323,0.137167011871738,0.553432636594986,0.247847710456078,0.804252238713979,0.84076082425278
"SAOUHSC_00239",618.796788039474,-0.151209763649221,0.111013841481405,-1.36208027423813,0.173172552804893,0.226192343201104
"SAOUHSC_00240",267.868333631392,-0.38176460233886,0.168452827564373,-2.26629975797213,0.0234330362406087,0.0374297386954369
"SAOUHSC_00241",937.173569115616,-0.431688008361727,0.130804608756908,-3.30025075159233,0.00096598476828857,0.00188519258499562
"SAOUHSC_00242",778.770788644194,-0.169097018064454,0.091586099074854,-1.84631750639636,0.06484611729629,0.09430716752103
