"locus_tag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","product"
"SAOUHSC_02988",2204.33524237554,-2.16966197162657,0.0679493786824268,-31.930563806431,1.00570601931613e-223,8.22598164764779e-222,NA,"accessory Sec system protein Asp1"
"SAOUHSC_01180",3697.97736500586,-2.32669724952349,0.0750442009314257,-31.0043577071277,4.70864174236191e-211,3.72296607096082e-209,NA,"hypothetical protein"
"SAOUHSC_02520",8928.95130728192,1.9047801830588,0.062568953564985,30.4428965889683,1.48747098882945e-203,1.13815522113015e-201,NA,"sugar transporter"
"SAOUHSC_02426",2525.94615578212,-2.1044657326453,0.0695213370887343,-30.2707890954289,2.77931517790119e-201,2.06016737561926e-199,NA,"hypothetical protein"
"SAOUHSC_00553",3385.55752844245,2.02357481277235,0.0677589382440308,29.8643229249628,5.72139314186538e-196,4.11246804015293e-194,NA,"hypothetical protein"
"SAOUHSC_00846",2260.06631676244,2.28380698864387,0.0785675222355835,29.0680795786828,9.09377470862156e-186,6.34424517907363e-184,NA,"hypothetical protein"
"SAOUHSC_00500",5868.87872416341,-2.75692545082276,0.0982028799831827,-28.0737739187984,2.04815230044154e-173,1.38806207332781e-171,NA,"glutamine amidotransferase subunit PdxT"
"SAOUHSC_00167",2524.80009456051,-1.81792347618395,0.0664833120249118,-27.3440570394983,1.27074583484251e-164,8.37280311179562e-163,NA,"peptide ABC transporter ATP-binding protein"
"SAOUHSC_01819",17864.1843397869,-1.80027290517799,0.0663232553645885,-27.1439164932667,2.98735029197676e-162,1.91513375474834e-160,NA,"hypothetical protein"
"SAOUHSC_02987",2148.91164708411,-2.21909780571395,0.0819402381158186,-27.081905749131,1.60861644059946e-161,1.00411531502682e-159,NA,"accessory Sec system protein Asp2"
"SAOUHSC_00843",1785.01365827516,-2.18387044271052,0.0815448361584209,-26.7812230129179,5.34739689003457e-158,3.25231421106718e-156,NA,"hypothetical protein"
